country_id,year,stunting_pct,underweight_pct,wasting_pct
AFG,1997,53.2,44.9,17.3
AFG,2004,59.3,31.7,9.1
AFG,2013,40.4,24.6,9.5
AFG,2018,38.2,19.1,5.1
AFG,2022,44.6,18.4,3.6
AGO,1996,64.6,42.3,8.6
AGO,2007,29.2,15.1,8.2
AGO,2015,45.7,24.7,5.4
ALB,2005,35.7,11.7,7.3
ALB,2009,30.9,9.0,6.7
ALB,2017,17.1,1.9,2.5
ARG,1994,7.1,1.7,1.6
ARG,1996,16.9,4.7,4.2
ARG,2005,7.2,2.5,1.7
ARG,2018,8.7,2.0,1.7
ARM,1998,19.3,3.3,2.3
ARM,2000,20.0,2.6,2.0
ARM,2005,16.9,4.1,3.8
ARM,2010,23.6,8.0,5.4
ARM,2016,13.4,3.1,5.9
AUS,1995,0.0,0.0,0.0
AUS,2007,1.9,0.5,0.2
AZE,1996,28.0,8.8,3.8
AZE,2000,24.2,14.0,9.0
AZE,2001,18.0,5.9,3.2
AZE,2006,26.5,8.4,6.8
AZE,2011,16.4,6.5,6.6
AZE,2013,17.8,4.9,3.2
AZE,2023,6.6,3.0,3.5
BDI,1987,52.9,30.9,7.9
BDI,2000,65.9,40.8,8.1
BDI,2005,57.7,35.2,9.0
BDI,2010,59.4,30.1,6.1
BDI,2012,52.0,27.9,8.0
BDI,2016,58.8,31.1,5.3
BDI,2018,56.6,29.6,4.8
BDI,2019,54.0,27.0,4.8
BDI,2020,50.9,27.7,5.7
BDI,2022,55.8,27.6,5.0
BDI,2023-05,58.0,28.0,4.7
BDI,2023-08,55.9,29.3,5.8
BDI,2024,52.8,28.3,7.8
BEL,2014,1.6,1.1,0.5
BEL,2023,1.9,0.3,0.8
BEN,2001,40.7,24.7,5.7
BEN,2014,45.1,26.8,0.8
BEN,2018,39.5,20.5,5.1
BEN,2021,39.9,23.9,7.2
BEN,1996,40.9,29.9,16.9
BEN,2001,42.6,26.8,11.9
BEN,2008,39.0,18.0,5.2
BEN,2014,46.9,25.3,6.4
BEN,2018,41.9,21.2,5.8
BEN,2021,46.1,27.8,9.0
BFA,1993,42.4,30.2,15.9
BFA,1999,48.1,36.6,17.9
BFA,2009,35.1,26.0,11.3
BFA,2010-08,34.7,26.2,15.5
BFA,2010-09,41.8,32.5,17.3
BFA,2011,34.6,25.1,10.4
BFA,2012,32.8,24.3,10.7
BFA,2013,31.3,20.9,8.1
BFA,2014,29.0,20.0,8.5
BFA,2015,30.1,22.8,10.2
BFA,2016,26.8,18.9,7.5
BFA,2017,21.1,16.2,8.6
BFA,2018,24.9,17.7,8.4
BFA,2019,23.8,16.4,8.1
BFA,2020-10,17.5,12.7,8.8
BFA,2020-12,26.0,22.7,12.6
BFA,2021-09,29.2,24.3,12.9
BFA,2021-10,21.1,16.9,9.3
BGD,1986,70.9,66.8,17.3
BGD,1990,63.4,61.5,17.5
BGD,1991,73.6,61.2,15.2
BGD,1992,71.5,60.6,16.1
BGD,1993,69.2,56.1,14.0
BGD,1994,67.3,58.0,16.7
BGD,1995,65.8,55.2,15.1
BGD,1996,63.8,54.0,15.5
BGD,1997,59.6,53.6,20.7
BGD,1998,59.3,50.7,15.0
BGD,1999,59.9,49.5,13.7
BGD,2000,51.1,42.4,12.5
BGD,2001,53.2,43.2,12.7
BGD,2002,51.4,41.0,12.4
BGD,2003,47.8,38.9,12.5
BGD,2004,50.5,42.8,14.6
BGD,2005-07,46.2,39.7,14.5
BGD,2005-12,45.9,37.3,11.8
BGD,2006,45.1,37.9,11.9
BGD,2007,43.2,41.3,17.5
BGD,2011-07,40.0,34.0,12.0
BGD,2011-09,41.3,36.7,15.7
BGD,2011-12,44.9,31.4,12.1
BGD,2012-07,37.0,33.0,11.0
BGD,2012-12,41.2,34.4,13.4
BGD,2013-02,42.0,31.9,9.6
BGD,2013-06,38.7,35.1,18.1
BGD,2013-07,35.0,30.0,11.0
BGD,2014-07,35.0,30.0,11.0
BGD,2014-09,36.2,32.8,14.4
BGD,2015-04,32.7,28.9,15.6
BGD,2015-11,35.0,31.0,10.0
BGD,2018,30.9,21.9,8.4
BGD,2019-01,26.2,19.1,9.5
BGD,2019-03,28.0,22.6,9.8
BGD,2022,23.6,21.7,10.7
BGR,2004,15.2,1.1,2.2
BGR,2007,9.2,3.7,4.7
